Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Vila Isabel;1;0;0;37;1000.0;285.0;24.0
Copacabana;3;0;0;150;5500.0;1780.0;420.0
Lagoa;3;1;1;127;5000.0;1540.0;370.0
Freguesia (Jacarepaguá);2;1;1;74;1700.0;652.0;104.0
Barra da Tijuca;3;2;1;128;3000.0;1384.0;324.0
Gávea;3;1;1;160;8000.0;2000.0;0.0
Copacabana;3;1;1;200;6200.0;1800.0;420.0
Barra da Tijuca;2;1;0;58;1500.0;666.0;106.0
Botafogo;3;1;1;100;5500.0;1300.0;220.0
Barra da Tijuca;4;2;3;320;5500.0;2700.0;800.0
Recreio dos Bandeirantes;2;1;1;75;1000.0;1040.0;112.0
Ipanema;2;0;2;52;10000.0;3689.0;393.0
Leblon;4;4;4;380;40000.0;4700.0;1500.0
Recreio dos Bandeirantes;3;2;1;104;2200.0;740.0;258.0
Barra da Tijuca;2;1;1;72;2600.0;1700.0;237.0
Taquara;2;1;0;75;1200.0;330.0;75.0
Botafogo;4;1;1;190;5500.0;1720.0;350.0
Ipanema;4;6;1;700;65000.0;8860.0;5699.0
Méier;2;0;0;56;899.0;402.0;135.0
Freguesia (Jacarepaguá);2;1;1;71;1200.0;600.0;54.0
Lagoa;3;1;2;105;3600.0;1100.0;281.0
Copacabana;3;1;1;500;15000.0;2580.0;366.0
Tijuca;3;0;0;87;1600.0;650.0;100.0
Botafogo;1;0;0;35;1500.0;470.0;50.0
Ipanema;3;3;1;220;22000.0;4000.0;1200.0
Copacabana;3;0;0;100;3300.0;850.0;90.0
Barra da Tijuca;3;1;2;93;2500.0;1100.0;0.0
Engenho Novo;2;2;0;78;800.0;915.0;55.0
Barra da Tijuca;2;1;1;85;2500.0;1573.0;197.0
Leblon;2;1;1;115;7500.0;980.0;270.0
Botafogo;2;1;1;70;3700.0;1133.0;147.0
Freguesia (Jacarepaguá);2;1;1;95;1600.0;650.0;0.0
Barra da Tijuca;4;4;4;392;30000.0;7000.0;3000.0
Campo Grande;2;0;0;60;1200.0;570.0;0.0
Flamengo;1;0;0;40;1900.0;430.0;54.0
Engenho de Dentro;3;1;1;61;1400.0;498.0;0.0
Copacabana;3;2;1;250;7000.0;1500.0;434.0
Ipanema;3;2;1;200;15000.0;1500.0;572.0
Copacabana;3;1;0;140;3700.0;1347.0;0.0
Copacabana;2;0;0;50;2500.0;750.0;760.0
Tijuca;3;1;1;78;2500.0;730.0;178.0
Lagoa;3;1;1;75;4000.0;1250.0;309.0
Recreio dos Bandeirantes;3;2;1;102;1850.0;882.0;0.0
Tijuca;1;0;0;65;1200.0;320.0;0.0
Barra da Tijuca;2;1;0;60;1500.0;1266.0;233.0
Copacabana;4;1;2;210;13000.0;2200.0;650.0
Maracanã;3;2;3;158;2400.0;1265.0;0.0
Barra da Tijuca;2;1;1;83;2000.0;1548.0;260.0
Laranjeiras;5;2;1;400;9000.0;3000.0;0.0
Barra da Tijuca;3;1;1;84;1900.0;1103.0;212.0
Freguesia (Jacarepaguá);3;1;1;77;1600.0;850.0;165.0
São Conrado;4;4;4;510;25000.0;6600.0;0.0
Tijuca;3;0;0;75;1800.0;350.0;0.0
Ipanema;3;1;1;126;5500.0;1400.0;2000.0
Leblon;4;2;2;250;17500.0;4990.0;620.0
Copacabana;4;2;2;436;17000.0;3900.0;1000.0
Freguesia (Jacarepaguá);3;3;2;173;3200.0;1800.0;0.0
Tijuca;2;1;1;71;1500.0;600.0;0.0
Barra da Tijuca;2;1;1;81;1900.0;1200.0;121.0
Leblon;3;1;0;87;3800.0;970.0;273.0
Laranjeiras;4;1;2;288;7000.0;1870.0;582.0
Recreio dos Bandeirantes;1;1;1;102;1900.0;688.0;0.0
Leblon;2;1;0;70;4200.0;1100.0;200.0
Pilares;3;0;0;65;1200.0;350.0;16.0
Barra da Tijuca;3;3;2;169;6500.0;1886.0;450.0
Laranjeiras;3;1;1;90;2400.0;1311.0;0.0
Tijuca;2;0;0;50;1800.0;347.0;25.0
Ipanema;3;1;1;140;6500.0;1800.0;506.0
Campo Grande;2;0;0;60;800.0;380.0;0.0
Ipanema;4;1;1;170;12000.0;1210.0;4222.0
Centro;1;0;0;35;1350.0;420.0;24.0
Tijuca;2;0;0;63;1400.0;440.0;61.0
Copacabana;3;1;0;112;3800.0;1123.0;286.0
Tijuca;3;1;0;129;1800.0;850.0;116.0
Barra da Tijuca;4;3;3;160;8600.0;2300.0;250.0
Recreio dos Bandeirantes;2;1;1;93;1400.0;1300.0;0.0
Freguesia (Jacarepaguá);3;1;1;93;1800.0;650.0;95.0
Barra da Tijuca;1;1;1;60;2200.0;1600.0;350.0
Taquara;2;2;0;55;790.0;350.0;0.0
Copacabana;2;0;0;54;1800.0;590.0;0.0
Catete;2;1;1;70;3300.0;1365.0;180.0
Copacabana;5;1;3;390;10000.0;1000.0;1000.0
Maracanã;2;1;0;53;1300.0;492.0;16.0
Botafogo;1;0;0;35;1000.0;293.0;86.0
Tijuca;3;1;0;164;3500.0;1310.0;257.0
Jacarepaguá;2;1;1;60;1200.0;524.0;13.0
Água Santa;2;1;0;50;850.0;280.0;12.0
Botafogo;2;1;1;79;4315.0;1110.0;187.0
Recreio dos Bandeirantes;2;1;1;80;1600.0;615.0;3.0
Tijuca;1;0;0;36;1300.0;295.0;24.0
Jardim Oceânico;4;4;3;190;5700.0;1069.0;808.0
Freguesia (Jacarepaguá);3;1;0;84;1500.0;900.0;0.0
São Cristóvão;2;0;0;50;1000.0;600.0;0.0
Ilha do Governador;3;1;0;83;1500.0;440.0;132.0
Olaria;2;0;0;90;1000.0;150.0;0.0
Humaitá;1;0;0;57;3990.0;860.0;100.0
Maracanã;3;1;0;95;2500.0;600.0;80.0
Leblon;4;2;2;200;11000.0;2900.0;580.0
Barra da Tijuca;2;1;1;63;1900.0;824.0;0.0
Gávea;2;1;1;100;3900.0;1300.0;320.0
Ipanema;3;2;1;165;7500.0;2200.0;532.0
Ipanema;3;2;2;160;6000.0;3500.0;4600.0
Flamengo;1;1;0;48;2100.0;580.0;70.0
Leblon;2;1;1;87;4800.0;1300.0;361.0
Barra da Tijuca;3;1;1;105;2500.0;1400.0;1500.0
Barra da Tijuca;3;1;1;80;3500.0;1410.0;270.0
Botafogo;3;1;1;102;5100.0;1300.0;0.0
Gávea;3;0;1;120;2700.0;880.0;238.0
Humaitá;2;2;1;112;4500.0;1300.0;0.0
Vila da Penha;2;0;0;60;900.0;160.0;25.0
Lagoa;1;1;0;75;2800.0;800.0;210.0
Ipanema;3;1;1;125;7000.0;2100.0;463.0
Engenho Novo;2;0;0;53;1400.0;460.0;12.0
Recreio dos Bandeirantes;3;3;1;132;2800.0;879.0;0.0
Barra da Tijuca;2;2;1;86;3500.0;1307.0;0.0
Recreio dos Bandeirantes;2;1;1;80;1700.0;690.0;150.0
Recreio dos Bandeirantes;4;2;2;200;3600.0;1177.0;320.0
Barra da Tijuca;2;1;1;77;2500.0;830.0;156.0
Engenho Novo;1;1;0;63;700.0;625.0;36.0
Barra da Tijuca;4;2;2;149;4500.0;2130.0;0.0
Recreio dos Bandeirantes;3;2;2;106;2500.0;780.0;248.0
Anil;2;1;0;48;1100.0;400.0;0.0
Ipanema;4;1;2;250;12000.0;2300.0;1050.0
Gávea;2;1;1;68;2700.0;850.0;186.0
Barra da Tijuca;2;1;1;75;1400.0;1280.0;0.0
Ipanema;2;1;1;97;7000.0;4000.0;4725.0
Cachambi;3;0;0;70;900.0;200.0;30.0
Copacabana;4;2;1;279;3150.0;2025.0;370.0
Laranjeiras;5;3;2;713;30000.0;3800.0;0.0
Cachambi;2;1;0;70;950.0;530.0;30.0
Recreio dos Bandeirantes;4;2;1;400;3500.0;800.0;500.0
Recreio dos Bandeirantes;2;1;1;89;1800.0;884.0;170.0
Maracanã;1;1;1;120;1000.0;985.0;150.0
Recreio dos Bandeirantes;4;3;2;181;3500.0;1080.0;423.0
Tijuca;2;1;1;70;1500.0;890.0;68.0
Vaz Lobo;2;0;0;70;1000.0;32.0;0.0
Madureira;2;0;0;40;600.0;415.0;0.0
Recreio dos Bandeirantes;2;0;0;75;1700.0;659.0;0.0
Copacabana;2;1;1;81;2900.0;893.0;190.0
Praça Seca;3;0;0;90;900.0;330.0;15.0
Vila Isabel;3;3;1;124;1700.0;1400.0;0.0
Recreio dos Bandeirantes;5;3;4;430;6000.0;899.0;750.0
Ipanema;2;0;1;75;5200.0;476.0;120.0
São Conrado;5;2;3;400;13000.0;4165.0;689.0
Freguesia (Jacarepaguá);3;2;1;126;1500.0;1000.0;150.0
Laranjeiras;2;1;1;70;2300.0;620.0;190.0
Recreio dos Bandeirantes;3;2;1;94;1900.0;1300.0;198.0
Barra da Tijuca;4;3;4;192;5000.0;2200.0;562.0
Copacabana;1;0;0;43;1600.0;452.0;242.0
Barra da Tijuca;2;1;1;70;2200.0;780.0;0.0
São Francisco Xavier;3;1;1;73;1200.0;520.0;0.0
Copacabana;3;0;0;120;3000.0;1420.0;0.0
Pechincha;2;1;0;64;800.0;248.0;14.0
Copacabana;1;0;0;45;2800.0;450.0;30.0
Laranjeiras;2;0;0;110;2500.0;968.0;167.0
Ipanema;4;3;3;433;37000.0;9800.0;0.0
Flamengo;2;0;0;85;2700.0;800.0;1150.0
Leme;3;1;1;175;8000.0;1380.0;0.0
Jacarepaguá;2;1;0;68;1100.0;540.0;0.0
Humaitá;2;1;0;64;2500.0;520.0;0.0
Copacabana;1;0;1;37;2500.0;447.0;20.0
Copacabana;4;2;2;240;10000.0;2000.0;700.0
Barra da Tijuca;3;2;2;137;12500.0;1850.0;271.0
Barra da Tijuca;14;2;2;212;5000.0;1200.0;650.0
Irajá;2;1;0;65;1100.0;255.0;0.0
Barra da Tijuca;2;2;1;105;3000.0;1500.0;0.0
Vila Isabel;2;1;0;70;1100.0;550.0;0.0
São Conrado;4;3;4;600;23000.0;16864.0;3910.0
Gávea;3;1;1;108;5000.0;1769.0;226.0
Recreio dos Bandeirantes;2;1;2;85;2300.0;1350.0;125.0
Catete;1;0;0;45;1600.0;500.0;55.0
Barra da Tijuca;3;2;3;160;7000.0;1087.0;455.0
Lagoa;3;2;1;130;5000.0;1000.0;300.0
Freguesia (Jacarepaguá);3;2;1;100;2100.0;780.0;140.0
Freguesia (Jacarepaguá);3;2;3;180;5500.0;1200.0;318.0
Copacabana;3;0;0;80;2500.0;800.0;157.0
Recreio dos Bandeirantes;3;1;1;85;1900.0;450.0;112.0
Barra da Tijuca;5;4;3;171;9000.0;2000.0;3500.0
Centro;1;0;0;42;2200.0;619.0;202.0
Méier;2;1;0;62;1000.0;600.0;38.0
Leblon;4;3;4;260;13500.0;3100.0;0.0
Grajaú;2;0;0;65;1400.0;415.0;21.0
Lagoa;4;3;1;180;11000.0;2530.0;812.0
Copacabana;1;0;0;43;1800.0;639.0;76.0
Lagoa;2;1;1;80;2200.0;2600.0;420.0
Flamengo;2;1;0;57;2800.0;832.0;98.0
Campo Grande;3;1;1;98;1800.0;950.0;0.0
Jardim Botânico;3;1;2;170;6000.0;860.0;540.0
Leblon;4;2;2;207;15500.0;6000.0;934.0
Barra da Tijuca;4;4;4;518;38000.0;5004.0;1747.0
Ipanema;1;0;1;50;2400.0;897.0;26.0
Recreio dos Bandeirantes;3;2;1;150;2500.0;1012.0;0.0
Copacabana;2;0;0;65;2700.0;710.0;130.0
Recreio dos Bandeirantes;4;3;2;300;4500.0;1500.0;580.0
Recreio dos Bandeirantes;2;2;1;115;1900.0;661.0;0.0
Recreio dos Bandeirantes;3;3;1;110;1500.0;873.0;0.0
Barra da Tijuca;4;3;4;304;13000.0;3800.0;1350.0
Tijuca;3;1;0;88;2300.0;790.0;885.0
Ipanema;3;1;1;145;7200.0;2900.0;500.0
Urca;1;0;0;53;2800.0;770.0;0.0
Ipanema;3;1;1;116;5000.0;1600.0;316.0
Tijuca;3;1;0;116;2000.0;790.0;194.0
Vila Isabel;3;0;0;82;1200.0;664.0;86.0
Barra da Tijuca;3;2;1;130;4800.0;1700.0;433.0
Freguesia (Jacarepaguá);3;1;1;90;1700.0;595.0;0.0
Flamengo;2;1;0;68;2000.0;536.0;148.0
Copacabana;1;0;0;60;2800.0;620.0;128.0
Taquara;2;1;0;53;1100.0;450.0;150.0
Penha;2;0;0;64;950.0;180.0;0.0
Jardim Botânico;3;1;1;130;6400.0;1500.0;0.0
Leblon;2;1;0;90;3500.0;1300.0;200.0
Leblon;4;2;4;200;8500.0;2710.0;945.0
Tijuca;1;1;1;84;2000.0;718.0;120.0
Flamengo;1;0;0;30;1490.0;315.0;55.0
Maracanã;2;0;0;79;1700.0;600.0;0.0
Copacabana;1;1;0;150;3000.0;1200.0;390.0
Barra da Tijuca;3;2;3;156;5500.0;2300.0;398.0
Flamengo;1;0;1;38;1450.0;690.0;55.0
Botafogo;2;0;0;115;2200.0;1045.0;190.0
Tijuca;2;0;0;49;1800.0;180.0;0.0
Jacarepaguá;2;1;1;80;1900.0;1350.0;100.0
Copacabana;2;0;0;120;3800.0;1000.0;197.0
Barra da Tijuca;2;1;1;70;1800.0;681.0;120.0
Bonsucesso;3;1;0;98;2800.0;390.0;0.0
Barra da Tijuca;2;1;1;70;3240.0;950.0;0.0
Flamengo;2;1;0;90;3200.0;980.0;0.0
Ipanema;2;0;0;99;3300.0;920.0;0.0
Copacabana;3;1;0;80;3100.0;700.0;1208.0
Copacabana;2;1;0;74;2600.0;1021.0;0.0
Humaitá;2;1;0;75;2900.0;926.0;90.0
Barra da Tijuca;4;3;4;250;9500.0;2800.0;523.0
Recreio dos Bandeirantes;2;1;1;80;1600.0;770.0;108.0
Recreio dos Bandeirantes;3;4;1;217;3300.0;947.0;547.0
Ipanema;4;1;3;250;12000.0;2300.0;1037.0
São Conrado;3;2;1;140;4700.0;1620.0;515.0
Barra da Tijuca;4;3;2;260;7500.0;3550.0;350.0
Laranjeiras;2;0;0;85;2100.0;700.0;95.0
Rio Comprido;2;1;0;69;1900.0;600.0;70.0
Freguesia (Jacarepaguá);1;1;0;49;1050.0;580.0;36.0
Andaraí;2;1;0;56;1900.0;607.0;89.0
Ipanema;4;3;4;480;39000.0;9400.0;0.0
Barra da Tijuca;4;3;3;180;7000.0;1935.0;449.0
Copacabana;2;0;0;81;3000.0;770.0;159.0
Barra da Tijuca;2;1;1;88;2400.0;1313.0;0.0
Vargem Pequena;2;1;1;80;1100.0;650.0;0.0
Ipanema;3;3;3;169;9000.0;2300.0;886.0
Flamengo;4;2;2;423;12000.0;3795.0;1253.0
Quintino Bocaiúva;2;0;0;67;900.0;320.0;0.0
Leblon;3;1;0;74;3300.0;700.0;83.0
Copacabana;2;0;0;110;2800.0;800.0;120.0
Leme;1;0;0;31;1140.0;420.0;24.0
Recreio dos Bandeirantes;2;2;1;90;1500.0;720.0;199.0
Barra da Tijuca;2;1;0;70;2400.0;1800.0;150.0
Inhaúma;3;1;0;60;750.0;236.0;0.0
Glória;1;0;0;48;1400.0;480.0;20.0
Copacabana;5;1;1;400;8500.0;2160.0;365.0
Ipanema;2;1;0;45;3000.0;575.0;25.0
Pechincha;2;1;0;65;950.0;640.0;126.0
Leblon;2;0;0;100;3800.0;900.0;195.0
Grajaú;3;2;1;90;2950.0;700.0;100.0
Marechal Hermes;2;1;0;70;850.0;200.0;0.0
Grajaú;1;0;0;30;800.0;283.0;187.0
Praça Seca;2;1;1;63;1100.0;361.0;0.0
Barra da Tijuca;3;2;2;480;15000.0;2750.0;650.0
Recreio dos Bandeirantes;2;2;1;72;1580.0;900.0;140.0
Laranjeiras;2;0;0;51;1900.0;450.0;25.0
Botafogo;1;0;0;17;1100.0;330.0;15.0
Botafogo;3;0;0;100;6050.0;1155.0;234.0
Lagoa;2;1;1;90;2700.0;1350.0;250.0
Lagoa;3;3;3;230;6000.0;4600.0;990.0
Pechincha;2;1;1;62;1700.0;500.0;67.0
Leblon;2;2;1;113;3500.0;1365.0;387.0
Flamengo;1;0;0;49;1700.0;440.0;68.0
Méier;1;0;0;53;900.0;484.0;37.0
Vila Isabel;2;1;0;63;1300.0;500.0;0.0
Lagoa;3;3;1;250;11000.0;3500.0;889.0
Humaitá;3;1;0;95;2300.0;1300.0;120.0
Flamengo;1;0;0;37;2300.0;485.0;56.0
Curicica;1;1;0;45;700.0;356.0;126.0
Barra da Tijuca;2;1;0;90;2000.0;980.0;1600.0
Barra da Tijuca;1;1;1;80;1700.0;980.0;250.0
Barra da Tijuca;2;1;1;70;2200.0;1000.0;70.0
Barra da Tijuca;4;3;1;190;5500.0;1600.0;435.0
Copacabana;3;1;0;140;3500.0;1250.0;0.0
Tijuca;1;1;1;87;1400.0;1057.0;162.0
Barra da Tijuca;4;3;2;210;5300.0;2080.0;500.0
Méier;1;0;0;50;1000.0;390.0;16.0
Flamengo;4;1;0;240;6000.0;2050.0;701.0
Leblon;4;3;4;300;30000.0;4273.0;1557.0
Ipanema;3;1;1;140;7200.0;2900.0;500.0
Jardim Botânico;2;1;1;86;4100.0;830.0;257.0
Recreio dos Bandeirantes;4;3;4;203;6000.0;1200.0;420.0
Leblon;3;1;0;110;6200.0;885.0;0.0
Tijuca;2;1;0;60;1800.0;420.0;0.0
Barra da Tijuca;2;1;1;140;4500.0;910.0;420.0
Andaraí;1;0;1;30;1100.0;580.0;0.0
Pechincha;2;1;0;52;700.0;420.0;35.0
Recreio dos Bandeirantes;2;1;1;75;2300.0;1220.0;134.0
Freguesia (Jacarepaguá);2;1;0;55;1000.0;390.0;36.0
Água Santa;2;1;0;70;800.0;250.0;14.0
Lagoa;2;1;0;77;2700.0;1050.0;302.0
Copacabana;3;1;1;194;7500.0;1710.0;4641.0
Leblon;3;3;1;208;8000.0;1700.0;965.0
Gávea;3;1;2;220;7000.0;3200.0;450.0
Barra da Tijuca;3;2;1;204;4600.0;2321.0;489.0
Barra da Tijuca;3;1;3;80;2800.0;1300.0;0.0
Leblon;4;2;2;205;15000.0;6000.0;772.0
Barra da Tijuca;3;2;1;165;6500.0;1503.0;330.0
Leblon;3;2;1;140;4500.0;2552.0;595.0
Laranjeiras;3;1;1;150;3200.0;1504.0;301.0
Moneró;1;1;0;47;1200.0;290.0;49.0
Tijuca;2;1;0;70;1850.0;748.0;48.0
Leblon;2;1;1;82;5900.0;1128.0;300.0
Grajaú;2;0;0;70;1300.0;447.0;0.0
Recreio dos Bandeirantes;4;2;2;160;1900.0;830.0;0.0
Barra da Tijuca;4;4;4;330;20000.0;1800.0;10500.0
Barra da Tijuca;3;2;1;140;4900.0;1600.0;3580.0
Flamengo;2;1;1;60;3400.0;978.0;130.0
Itanhangá;2;1;1;58;900.0;500.0;212.0
Tijuca;3;1;1;106;2050.0;872.0;1008.0
Leme;1;0;0;55;2000.0;585.0;79.0
Ipanema;3;3;3;310;16000.0;3000.0;1100.0
Vila Isabel;2;1;1;79;1300.0;950.0;30.0
Barra da Tijuca;2;1;1;102;2500.0;1478.0;255.0
Copacabana;3;1;1;160;4000.0;1617.0;300.0
Copacabana;1;0;0;30;1200.0;650.0;54.0
Quintino Bocaiúva;2;0;0;80;900.0;170.0;0.0
Ipanema;3;1;0;80;4000.0;1200.0;251.0
Leblon;4;2;2;300;28000.0;3480.0;0.0
Freguesia (Jacarepaguá);3;1;1;77;2000.0;580.0;80.0
Jardim Botânico;3;2;2;145;4680.0;1296.0;317.0
Recreio dos Bandeirantes;3;2;1;185;2500.0;1355.0;2917.0
Barra da Tijuca;1;1;1;68;2800.0;1250.0;219.0
Jardim Botânico;2;2;1;83;3500.0;1630.0;196.0
Leblon;3;2;1;180;9500.0;2804.0;950.0
Copacabana;2;1;1;110;4000.0;1010.0;252.0
Botafogo;3;0;0;123;3200.0;421.0;182.0
Recreio dos Bandeirantes;3;3;1;180;1300.0;1635.0;320.0
Barra da Tijuca;3;2;3;120;2800.0;1280.0;360.0
Leblon;2;3;1;168;9000.0;2124.0;563.0
Barra da Tijuca;1;0;0;71;2100.0;1200.0;220.0
Tijuca;2;1;1;81;2350.0;849.0;80.0
Jacarepaguá;2;1;1;67;2000.0;636.0;75.0
Recreio dos Bandeirantes;3;3;3;200;3900.0;800.0;310.0
São Francisco Xavier;3;1;0;90;1900.0;210.0;160.0
Lagoa;2;1;1;56;3500.0;1490.0;323.0
Leblon;4;2;1;200;11500.0;3055.0;500.0
Recreio dos Bandeirantes;2;1;1;65;1800.0;680.0;100.0
Recreio dos Bandeirantes;2;1;1;70;1500.0;737.0;142.0
Tijuca;3;0;0;98;1700.0;390.0;93.0
Andaraí;2;0;0;66;700.0;900.0;46.0
Ipanema;3;2;1;200;6300.0;2200.0;400.0
Pechincha;2;1;0;60;900.0;420.0;15.0
Vila Valqueire;3;2;1;129;2200.0;755.0;195.0
Santa Teresa;2;0;0;65;1400.0;600.0;0.0
Leblon;4;2;2;230;17900.0;5000.0;1000.0
Gávea;3;1;1;138;7900.0;1900.0;3418.0
São Conrado;3;2;1;150;6500.0;1800.0;0.0
Jacarepaguá;4;2;2;155;3000.0;1664.0;309.0
Ipanema;3;1;0;130;8000.0;2000.0;480.0
Botafogo;3;1;1;123;4000.0;1188.0;221.0
Cachambi;2;0;0;50;900.0;313.0;0.0
Botafogo;1;0;0;38;1300.0;400.0;25.0
Tijuca;2;1;0;88;1100.0;693.0;32.0
Lins de Vasconcelos;2;0;0;50;900.0;360.0;13.0
Recreio dos Bandeirantes;3;1;1;80;1700.0;900.0;195.0
Copacabana;1;0;0;36;1700.0;632.0;69.0
Campo Grande;2;1;0;70;750.0;330.0;0.0
Freguesia (Jacarepaguá);1;1;0;49;850.0;590.0;37.0
Copacabana;1;0;0;37;2200.0;555.0;70.0
Ipanema;3;1;1;126;6000.0;1667.0;590.0
Gávea;2;1;0;63;3300.0;650.0;0.0
Barra da Tijuca;2;1;0;74;2100.0;750.0;0.0
Barra da Tijuca;2;1;1;70;2300.0;1000.0;80.0
Barra da Tijuca;4;3;4;292;16000.0;5000.0;1500.0
Barra da Tijuca;4;2;1;330;9000.0;3100.0;1085.0
Recreio dos Bandeirantes;2;1;1;65;1800.0;560.0;0.0
Flamengo;3;0;1;110;3800.0;659.0;146.0
Botafogo;3;1;1;102;5100.0;1300.0;342.0
Glória;1;0;0;28;1500.0;250.0;0.0
Barra da Tijuca;2;2;1;65;1600.0;1270.0;233.0
Engenho Novo;2;1;0;69;1250.0;600.0;0.0
Camorim;2;1;0;48;1000.0;340.0;90.0
Leblon;4;2;2;240;17900.0;5000.0;1000.0
Laranjeiras;4;2;1;350;10000.0;3000.0;403.0
Barra da Tijuca;2;1;1;87;2300.0;1482.0;251.0
Recreio dos Bandeirantes;2;1;1;70;1500.0;800.0;130.0
Barra da Tijuca;3;1;1;75;1900.0;750.0;60.0
Barra da Tijuca;2;1;1;80;3500.0;1100.0;140.0
Copacabana;3;0;2;130;4000.0;950.0;200.0
Cascadura;3;0;0;58;990.0;100.0;0.0
